2026-08-12 20:50:48.532 [restartedMain] INFO  com.employeemanagement.EmployeeManagementApplication - Starting EmployeeManagementApplication using Java 21.0.7 with PID 11719 (/Users/adityakulkarni/PersonalWork/Practice/Project/EmployeeHub/employee-management/target/classes started by adityakulkarni in /Users/adityakulkarni/PersonalWork/Practice/Project/EmployeeHub/employee-management)
2026-08-12 20:50:48.535 [restartedMain] INFO  com.employeemanagement.EmployeeManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-12 20:50:48.552 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-12 20:50:48.552 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-12 20:50:48.803 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-12 20:50:48.817 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 1 JPA repository interface.
2026-08-12 20:50:49.016 [restartedMain] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-08-12 20:50:49.024 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-08-12 20:50:49.029 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-08-12 20:50:49.029 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-08-12 20:50:49.045 [restartedMain] INFO  org.springframework.boot.web.context.servlet.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 493 ms
